place_name;yr;period;index_nsa
United States;2000;1;13637
United States;2000;2;13982
United States;2000;3;14218
United States;2000;4;14363
United States;2001;1;14590
United States;2001;2;14953
United States;2001;3;15204
United States;2001;4;15331
United States;2002;1;15534
United States;2002;2;15962
United States;2002;3;16298
United States;2002;4;16499
United States;2003;1;16727
United States;2003;2;17160
United States;2003;3;17533
United States;2003;4;17785
United States;2004;1;18108
United States;2004;2;18759
United States;2004;3;19279
United States;2004;4;19586
United States;2005;1;19990
United States;2005;2;20755
United States;2005;3;21337
United States;2005;4;21581
United States;2006;1;21809
United States;2006;2;22237
United States;2006;3;22304
United States;2006;4;22183
United States;2007;1;22215
United States;2007;2;22464
United States;2007;3;22205
United States;2007;4;21570
United States;2008;1;20952
United States;2008;2;20687
United States;2008;3;20188
United States;2008;4;19385
United States;2009;1;19119
United States;2009;2;19189
United States;2009;3;19132
United States;2009;4;18902
United States;2010;1;18557
United States;2010;2;18831
United States;2010;3;18557
United States;2010;4;18140
United States;2011;1;17557
United States;2011;2;17791
United States;2011;3;17880
United States;2011;4;17664
United States;2012;1;17563
United States;2012;2;18250
United States;2012;3;18507
United States;2012;4;18502
United States;2013;1;18717
United States;2013;2;19534
United States;2013;3;19858
United States;2013;4;19740
United States;2014;1;19834
United States;2014;2;20464
United States;2014;3;20688
United States;2014;4;20624
United States;2015;1;20794
United States;2015;2;21520
United States;2015;3;21763
United States;2015;4;21734
United States;2016;1;21914
United States;2016;2;22686
United States;2016;3;22992
United States;2016;4;23006
United States;2017;1;23238
United States;2017;2;24083
United States;2017;3;24406
United States;2017;4;24428
United States;2018;1;24835
United States;2018;2;25569
United States;2018;3;25840
United States;2018;4;25777
United States;2019;1;26059
United States;2019;2;26819
United States;2019;3;27087
United States;2019;4;27176
United States;2020;1;27688
United States;2020;2;28353
United States;2020;3;29296
United States;2020;4;30192
United States;2021;1;31290
United States;2021;2;33319
United States;2021;3;34650
United States;2021;4;35471
United States;2022;1;37043
United States;2022;2;39000
United States;2022;3;38734
United States;2022;4;38300
United States;2023;1;38697
United States;2023;2;40240
United States;2023;3;40863
United States;2023;4;40826
United States;2024;1;41348
United States;2024;2;42618
United States;2024;3;42649
